# Genesis 14 — morphology, one word per line.
#
# This is the project's own grammatical analysis of each form, written alongside the
# transcription and not copied from any digital edition.
#
# Columns: verse, part of speech, parse, form, lemma — in MorphGNT's code scheme, so
# the Old and New Testament layers read alike. The parse is eight places: person,
# tense, voice, mood, case, number, gender, degree ("-" where it does not apply).
#
# Two codes go beyond MorphGNT, both to record only what the form itself says:
#   voice  E  middle/passive — a tense in which the two share one form
#   gender C  masculine/feminine — an adjective whose form does not distinguish them
#
# A trailing annotation records a deliberate difference and the reason for it:
#   "# module …"  from the reference module, checked when LXX_RAHLFS_DIR is set
#   "# corpus …"  from this project's own analysis of the same form elsewhere
# A line may carry both. validate.py prints them as notes instead of failures — and
# fails if the difference a note claims is not there, so they cannot go stale. The
# analysis here is this project's own: the module is a reference, not an authority,
# and the corpus is held to itself.
#
# Indeclinables take case and number from the syntax, as MorphGNT does, and gender
# where there is one to take: a personal name, from the person; a numeral agreeing
# with its noun; a common noun whose article shows it — but not an indeclinable place
# name, which has none. A personal name the New Testament also uses takes MorphGNT's
# dictionary form (Νῶε, Σήμ); every other Semitic name (Χαμ, Ιαφεθ), the form Rahlfs
# prints.
14:1 V- 3AMI-S-- Ἐγένετο γίνομαι
14:1 C- -------- δὲ δέ
14:1 P- -------- ἐν ἐν
14:1 RA ----DSF- τῇ ὁ
14:1 N- ----DSF- βασιλείᾳ βασιλεία
14:1 RA ----DSF- τῇ ὁ
14:1 N- ----GSM- Αμαρφαλ Αμαρφαλ
14:1 N- ----GSM- βασιλέως βασιλεύς
14:1 N- ----GS-- Σεννααρ Σεννααρ
14:1 N- ----NSM- Αριωχ Αριωχ
14:1 N- ----NSM- βασιλεὺς βασιλεύς
14:1 N- ----GS-- Ελλασαρ Ελλασαρ
14:1 C- -------- καὶ καί
14:1 N- ----NSM- Χοδολλογομορ Χοδολλογομορ
14:1 N- ----NSM- βασιλεὺς βασιλεύς
14:1 N- ----GS-- Αιλαμ Αιλαμ  # corpus the land, where Αιλαμ at 10:22 is the man
14:1 C- -------- καὶ καί
14:1 N- ----NSM- Θαργαλ Θαργαλ
14:1 N- ----NSM- βασιλεὺς βασιλεύς
14:1 N- ----GPN- ἐθνῶν ἔθνος
14:2 V- 3AAI-P-- ἐποίησαν ποιέω
14:2 N- ----ASM- πόλεμον πόλεμος
14:2 P- -------- μετὰ μετά
14:2 N- ----GSM- Βαλλα Βαλλα
14:2 N- ----GSM- βασιλέως βασιλεύς
14:2 N- ----GPN- Σοδομων Σόδομα  # module GS — Σοδομων is the genitive plural of Σόδομα, neuter, as MorphGNT codes it
14:2 C- -------- καὶ καί
14:2 P- -------- μετὰ μετά
14:2 N- ----GSM- Βαρσα Βαρσα
14:2 N- ----GSM- βασιλέως βασιλεύς
14:2 N- ----GSF- Γομορρας Γόμορρα  # module GS, no gender — Γόμορρα declines, and is feminine, as MorphGNT codes Γομόρρας
14:2 C- -------- καὶ καί
14:2 N- ----GSM- Σεννααρ Σεννααρ  # module GS — the king of Αδαμα, a man, who gives the name his gender  # corpus the man, where Σεννααρ at 10:10 is the land
